MAINUPC,ITEMNAME,SizeName,PackName,ItemPrice,TOTALQTY_MULTI,CaseCost,Margin,ItemTypeDesc
00001540894,CRISTAL CUT WINE STOPPER,,Single,0.00,0,,0.00,
00017130009,CASAL THAULERO MONTEPULICIANO,1.5L,,0.00,0,,0.00,
00017130011,CASAL THAULERO PINOT GRIGIO,1.5L,,0.00,0,,0.00,
00041820085,D'ANGELO SACRAVITE,750ML,,0.00,0,,0.00,
00057900009,PINE RIDGE CHENIN BLANC,750ML,,0.00,0,,0.00,
00066222312,CASTILLO DE FUENTE MONASTRELL,750ML,,0.00,0,,0.00,
00066235252,SEQUIOT CABERNET SAUVIGNON,750ML,,0.00,0,,0.00,
00066236660,FLARE,750ML,,0.00,0,,0.00,
00428201402,IL TOSSO PINOT GRIGIO,750ML,,0.00,0,120.00,0.00,
00817625835,GIRARD ZINFANDEL,750ML,,0.00,0,172.00,0.00,
00919111113,G BOT IIPA 12 OZ CAN,12 OZ,4-Pack,0.00,0,67.50,0.00,
00919111127,NEW ENGLAND FUZZY BABY DUCK,12 OZ,6-Pack,0.00,0,38.99,0.00,
00919125423,NEW ENGLAND FACE HUGGER,12 OZ,6-Pack,0.00,0,38.99,0.00,
00919128323,NEW ENGLAND HAZY IPA,12 OZ,6-Pack,0.00,0,38.99,0.00,
00919145667,NEW ENGLAND FEST CAN,12 OZ,6-Pack,0.00,0,32.99,0.00,
00919151107,NEW ENGLAND ELM CITY PILSNER,12 OZ,6-Pack,0.00,0,32.99,0.00,
00919171109,SEA HAG IPA CAN,12 OZ,6-Pack,0.00,0,32.99,0.00,
00919191111,NEW ENGLAND STOUT TROOPER,12 OZ,4-Pack,0.00,0,67.50,0.00,
01008610139,SAN NICOLA PINOT GRIGIO,1.5L,,0.00,0,36.00,0.00,
0104200141,HERMAN STORY CASUAL ENCOUNTERS,750ML,,0.00,0,,0.00,
0104200143,ORIN SWIFT MANNEQUIN CHARD.,750ML,,0.00,0,30.08,0.00,
0104200144,MICHEL DE FONTENAY,750ML,,0.00,0,,0.00,
0104200145,MICHEL DE FONTENAY,750ML,,0.00,0,,0.00,
01098600002,KENWOOD JACK LONDON,750ML,,0.00,0,,0.00,
01098600222,KENWOOD CAB. SAUV.,750ML,,0.00,0,,0.00,
01103441003,M & R SWEET VERMOUTH,1.5L,,0.00,0,86.21,0.00,
01103441007,M & R SWEET VERMOUTH,375ML,,0.00,0,6.60,0.00,
01103442003,M & R DRY VERMOUTH,1.5L,,0.00,0,86.21,0.00,
01103442005,M & R DRY VERMOUTH,750ML,,0.00,0,49.94,0.00,
01103442007,M & R DRY VERMOUTH,375ML,,0.00,0,6.68,0.00,
01103443004,M & R BIANCO VERMOUTH,750ML,,0.00,0,55.94,0.00,
01103450003,M & R ASTI SPUMANTE,1.5L,,0.00,0,90.00,0.00,
01103450005,M & R ASTI SPUMANTE,750ML,,0.00,0,107.92,0.00,
01103450007,M & R ASTI SPUMANTE,375ML,,0.00,0,0.00,0.00,
01144322040,ESSER CHARDONNAY,750ML,,0.00,0,,0.00,
01144322045,ESSER PINOT NOIR,750ML,,0.00,0,0.00,0.00,
01144326023,CARTLIDGE & BROWNE CAB.SAUV.,750ML,,0.00,0,,0.00,
01166806022,ADELSHEIM CHARDONNAY,750ML,,0.00,0,,0.00,
01166888012,ADELSHEIM PINOT NOIR,750ML,,0.00,0,,0.00,
01169900874,MOMMESSIN NOUVEAU BEAUJOLIAS,750ML,,0.00,0,,0.00,
01169901643,MOMMESSIN PINOT NOIR CUVEE,750ML,,0.00,0,,0.00,
01169901850,CHATEAU DE PIERREUX,750ML,,0.00,0,,0.00,
01169901851,CHATEAU DE PIERREUX BROUILLY,750ML,,0.00,0,106.00,0.00,
01185202951,PONZI PINOT GRIS,750ML,,0.00,0,,0.00,
0122300,PEPSI 2L,2 LTR,Single,0.00,0,0.00,0.00,
0122330,MOUNTAIN DEW,2 LTR,Single,0.00,0,0.00,0.00,
01230010575,CAMEL CRUSH MENTHOL,1PK,Single,0.00,0,121.96,0.00,
0123073,CAMEL BLUE,1PK,Single,0.00,0,123.77,0.00,
01235400009,LINDEMANS PINOT GRIGO,1.5L,,0.00,0,53.96,0.00,
01235400099,19 CRIMES RED BLEND,750ML,,0.00,0,72.00,0.00,
01235400135,19 CRIMES CAB. SAUV.,750ML,,0.00,0,72.00,0.00,
01235400193,19 CRIMES UPRISING RED BLEND,750ML,,0.00,0,79.85,0.00,
01235400194,19 CRIMES HARD CHARD,750ML,,0.00,0,0.00,0.00,
01235400429,19 CRIMES CALI RED,750ML,,0.00,0,98.00,0.00,
01235400743,19 CRIMES MARTHA'S CHARD,750ML,,0.00,0,60.00,0.00,
01235407144,PENFOLD'S KOONUNGA HILL,750ML,,0.00,0,,0.00,
01235408184,LINDEMANS CHARDONNAY,750ML,,0.00,0,42.96,0.00,
01235408185,LINDEMANS CHARDONNAY,1.5L,,0.00,0,53.96,0.00,
01235408186,LINDEMANS PINOT NOIR,750ML,,0.00,0,42.96,0.00,
01235408770,LINDEMANS CAB. SAUVIGNON,750ML,,0.00,0,42.96,0.00,
01235408777,LINDEMANS CAB. SAUVIGNON,1.5L,,0.00,0,53.96,0.00,
01235408782,LINDEMANS PINOT GRIGO,750ML,,0.00,0,42.96,0.00,
0123923,NOW GREEN 100'S SOFT PK,SINGL,Single,0.00,0,,0.00,
01248533002,BLISS CHARDONNAY,750ML,,0.00,0,,0.00,
01248566002,BLISS SAUV BLANC,750ML,,0.00,0,,0.00,
01248577002,BLISS MERLOT,750ML,,0.00,0,,0.00,
0125680,PEPSI CAN,12 OZ,Single,0.00,0,14.99,0.00,
01258401750,CAMELOT MEAD WINE,750ML,,0.00,0,103.92,0.00,
01289485521,ROSEMOUNT SHIRAZ,750ML,,0.00,0,0.00,0.00,
01297626101,ANNA DE CODORNIU,750ML,,0.00,0,,0.00,
01297699017,CODORNIU CAVA CLASICO,750ML,,0.00,0,,0.00,
01297699048,THE SPANISH QUARTER CHARDONNAY,750ML,,0.00,0,,0.00,
0130225,ESSENSIA ORANGE MUSCAT,750ML,,0.00,0,,0.00,
01390000001,BARTENDER'S WHISKY SOUR MIX,4PK,Single,0.00,0,,0.00,
01456798378,ASYLUM GIN 94 PROOF,750ML,,0.00,0,,0.00,
01564300545,CHATEAU FAGE BLANC,750ML,,0.00,0,96.00,0.00,
01564300546,CHATEAU FAGE BORDEAUX,750ML,,0.00,0,96.00,0.00,
01564323524,CHATEAU MONTAUD ROSE,750ML,,0.00,0,104.00,0.00,
01564323553,MACON-UCHIZY WHITE,750ML,,0.00,0,128.00,0.00,
01564324145,DR.HANS RIESLING SPATLESE,750ML,,0.00,0,104.00,0.00,
01564324359,BRICCO AL SOLE MONTEPULCIANO,750ML,,0.00,0,96.00,0.00,
01564324391,AGUA DE PIEDRA MALBEC,750ML,,0.00,0,88.00,0.00,
01564324392,AGUA DE PIEDRA MALBEC,750ML,,0.00,0,112.00,0.00,
01564324505,CHATEAU LES GRANDES MOTTES,750ML,,0.00,0,104.00,0.00,
01564324535,ZENI MAROGNE RIPASSO,750ML,,0.00,0,164.00,0.00,
01564324633,CHATEAU LAFONT MENAUT,750ML,,0.00,0,,0.00,
01564324744,MONSIEUR TOUTON SAUVIGNON,1.5L,,0.00,0,88.00,0.00,
01564325577,COLLINA DEI LECCI BRUNELLO,750ML,,0.00,0,299.00,0.00,
01564325758,VILLA JOLANDA MOSCATO D'ASTI,750ML,,0.00,0,112.00,0.00,
01564325789,VILLA JOLANDA PEACH MOSCATO,750ML,,0.00,0,90.00,0.00,
01564325790,VILLA JOLANDA COCONUT,750ML,,0.00,0,90.00,0.00,
01564325791,VILLA JOLANDA STRABERRY,750ML,,0.00,0,90.00,0.00,
01564326093,VINA NUBILLA MALBEC,750ML,,0.00,0,,0.00,
01564331901,LA LECCIAIA ROSSO DI MONTALCINO,750ML,,0.00,0,138.00,0.00,
01564341521,VILLA JOLANDA MANGO MOSCATO,750ML,,0.00,0,90.00,0.00,
01564341526,SUR DE LOS ANDES MALBEC RESERVA,750ML,,0.00,0,112.00,0.00,
01564341940,MONSALAIA TOSCANA,750ML,,0.00,0,,0.00,
01564342206,LA CHAPELLE DU BASTION PICPOUL,750ML,,0.00,0,96.00,0.00,
01564342272,MAPRECO VINHO VERDE DOC,750ML,,0.00,0,72.00,0.00,
01564342285,RUBY RED ROSE ,750ML,,0.00,0,75.00,0.00,
01564342307,CHATEAU MONTAUD ROSE,3.0L,,0.00,0,136.00,0.00,
01564342763,DOMAINE DU COLOMBIER CHABLIS,750ML,,0.00,0,199.00,0.00,
01564348709,VALLEGARCIA SYRAH,750ML,,0.00,0,,0.00,
01564349672,LITTLE SHEEP NZ SAUV.BLANC,750ML,,0.00,0,112.00,0.00,
01564350094,CHATEAU DE PITRAY RED,750ML,,0.00,0,128.00,0.00,
01564356668,HAMILTON CRREK NAPA CHARD,750ML,,0.00,0,120.00,0.00,
01564356695,TERREBONNE PINOT NOIR,750ML,,0.00,0,,0.00,
